symbol,as_of_date,current_price,high_52w,low_52w,52w_return_pct,dist_from_high_52w_pct,error
AAPL,2026-09-17,332.41,344.5699,235.03,39.9831,3.53,
ABBV,2026-09-17,262.51,267.47,190.75,20.8768,1.85,
AIG,2026-09-17,76.07,87.29,71.25,-1.3631,12.85,
AMZN,2026-09-17,245.96,287.2,196.0,7.3413,14.36,
AXP,2026-09-17,312.43,387.49,290.97,-0.8648,19.37,
BAC,2026-09-17,57.9,65.225,46.12,17.6517,11.23,
COF,2026-09-17,203.19,259.64,174.24,-8.6876,21.74,
COP,2026-09-17,132.54,141.62,85.57,52.9514,6.41,
COST,2026-09-17,893.74,1096.5,844.06,-6.1192,18.49,
ESGU,2026-09-17,164.52,170.8499,136.82,14.3866,3.7,
ESGV,2026-09-17,133.57,138.03,108.18,13.7644,3.23,
F,2026-09-17,13.35,17.78,11.11,15.5822,24.92,
FITLX,2026-09-17,,,,,,finnhub_unsupported
GE,2026-09-17,312.9,388.84,268.91,7.0681,19.53,
GM,2026-09-17,84.29,91.85,54.33,44.8176,8.23,
GOOG,2026-09-17,339.36,408.61,235.84,37.109,16.95,
GOOGL,2026-09-17,342.87,408.61,235.84,37.109,16.09,
GOVT,2026-09-17,22.105,23.39,22.1,-4.6552,5.49,
IEMG,2026-09-17,80.11,86.49,64.07,22.7774,7.38,
JPM,2026-09-17,348.92,366.5,279.1,14.1114,4.8,
LLY,2026-09-17,1137.82,1292.65,712.05,51.8478,11.98,
MCD,2026-09-17,248.56,341.75,252.15,-16.3174,27.27,
MET,2026-09-17,97.23,100.93,67.33,22.0731,3.67,
MSFT,2026-09-17,490.3,553.72,349.2,-3.5393,11.45,
NFLX,2026-09-17,76.41,124.86,65.08,-35.2075,38.8,
NVDA,2026-09-17,213.9,236.54,164.27,19.3643,9.57,
ORCL,2026-09-17,143.16,329.5,114.5,-53.548,56.55,
Q,2026-09-17,114.86,177.2799,70.5,,35.21,
RTX,2026-09-17,196.83,226.88,155.64,23.4451,13.24,
SCHD,2026-09-17,33.84,35.31,26.32,25.5669,4.16,
SCHF,2026-09-17,27.63,28.685,22.85,18.8518,3.68,
SLB,2026-09-17,52.3,60.46,31.64,55.8815,13.5,
SPG,2026-09-17,202.94,238.5,172.19,11.0688,14.91,
TJX,2026-09-17,122.84,170.0,123.84,-11.7376,27.74,
UNH,2026-09-17,375.26,461.62,255.97,8.06,18.71,
UNP,2026-09-17,280.92,315.99,214.32,31.3249,11.1,
V,2026-09-17,370.93,385.5699,293.89,10.786,3.8,
VEA,2026-09-17,71.26,74.0351,58.82,18.6235,3.75,
VIG,2026-09-17,235.73,247.45,210.01,10.1475,4.74,
VOO,2026-09-17,693.24,716.39,578.46,14.5838,3.23,
VTEB,2026-09-17,48.23,51.18,48.2,-3.7909,5.76,
VV,2026-09-17,347.8,359.22,289.105,14.3339,3.18,
VWO,2026-09-17,59.18,61.535,52.2,9.9926,3.83,
VXF,2026-09-17,234.39,250.75,195.9,12.2917,6.52,
WMT,2026-09-17,107.5,135.16,98.88,4.2434,20.46,
XOM,2026-09-17,163.32,176.41,110.39,50.7076,7.42,
